State,SAT_Mean_2017,SAT_SD_2017,ERW_Mean_2017,ERW_SD_2017,Math_Mean_2017,Math_SD_2017,Prcnt_2017,SAT_Mean_2018,SAT_SD_2018,ERW_Mean_2018,ERW_SD_2018,Math_Mean_2018,Math_SD_2018,Prcnt_2018,SAT_Mean_2019,SAT_SD_2019,ERW_Mean_2019,ERW_SD_2019,Math_Mean_2019,Math_SD_2019,Prcnt_2019,SAT_Mean_2020,SAT_SD_2020,ERW_Mean_2020,ERW_SD_2020,Math_Mean_2020,Math_SD_2020,Prcnt_2020
United States,1060,195,533,100,527,107,48,1068,204,536,102,531,114,58,1059,210,531,104,528,117,60,1051,211,528,105,523,117,60
Alabama,1165,199,593,100,572,111,5,1166,205,595,100,571,116,6,1143,206,583,102,560,115,7,1127,194,576,97,551,109,7
Alaska,1080,176,547,94,533,94,38,1106,173,562,90,544,96,43,1097,177,556,93,541,96,41,1098,173,555,92,543,93,37
Arizona,1116,179,563,92,553,98,30,1149,174,577,88,572,97,29,1134,187,569,95,565,103,31,1139,179,571,92,568,98,29
Arkansas,1208,198,614,103,594,107,3,1169,199,592,103,576,108,5,1141,208,582,107,559,112,6,1157,190,590,99,567,103,4
California,1055,186,531,95,524,103,53,1076,205,540,101,536,114,60,1065,214,534,105,531,119,63,1049,217,527,107,522,119,67
Colorado,1201,194,606,99,595,107,11,1025,201,519,103,506,108,100,1024,205,518,104,506,110,100,1012,207,511,105,501,111,100
Connecticut,1041,210,530,106,512,114,100,1053,217,535,108,519,118,100,1046,220,529,111,516,119,100,1039,222,527,111,512,120,100
Delaware,996,197,503,104,492,103,100,998,202,505,105,492,107,100,985,207,499,107,486,110,100,978,205,497,106,481,108,100
District of Columbia,950,240,482,126,468,123,90,977,249,497,128,480,130,92,975,257,495,129,480,136,94,979,261,498,133,482,136,100
Florida,1017,190,520,97,497,104,83,1014,196,522,97,493,110,97,999,199,516,97,483,112,100,992,199,512,98,479,111,100
Georgia,1050,177,535,92,515,95,61,1064,183,542,93,522,100,70,1058,187,538,96,519,101,71,1053,186,537,95,516,101,68
Hawaii,1085,173,544,88,541,97,55,1099,177,550,89,549,100,56,1100,182,550,92,550,101,54,1095,180,549,92,546,100,51
Idaho,1005,182,513,97,493,96,93,1001,183,508,97,493,96,100,993,186,505,98,488,98,100,984,190,500,98,484,102,100
Illinois,1115,241,559,119,556,130,9,1019,202,513,103,506,109,99,1013,208,509,103,504,114,100,1007,210,504,105,503,115,98
Indiana,1074,168,542,88,532,92,63,1086,170,546,88,539,94,67,1080,176,543,91,537,96,66,1074,175,540,91,534,95,64
Iowa,1275,189,641,95,635,106,2,1265,195,634,96,631,110,3,1244,202,622,99,622,115,3,1220,188,611,96,609,106,3
Kansas,1260,188,632,99,628,103,4,1265,188,633,94,631,108,4,1241,192,618,99,623,108,4,1237,185,617,97,620,103,4
Kentucky,1247,188,631,95,616,105,4,1248,187,630,91,618,108,4,1232,190,620,93,612,109,4,1207,178,609,90,598,101,4
Louisiana,1198,204,611,102,586,112,4,1210,203,615,99,595,113,4,1200,202,610,100,591,112,5,1170,196,597,99,573,108,5
Maine,1012,198,513,104,499,106,95,1013,197,512,102,501,107,99,1013,198,512,102,502,107,99,995,202,504,105,491,109,98
Maryland,1060,199,536,102,524,108,69,1080,209,545,104,535,115,76,1058,220,535,109,523,120,82,1029,223,522,112,507,121,88
Massachusetts,1107,191,555,98,551,104,76,1125,200,562,101,563,110,80,1120,206,559,104,561,112,81,1119,204,560,103,559,111,80
Michigan,1005,195,509,101,495,105,100,1011,197,511,101,499,106,100,1003,201,507,101,496,110,100,998,204,503,103,495,111,100
Minnesota,1295,177,644,92,651,99,3,1298,178,643,90,655,102,4,1284,180,636,93,648,102,4,1257,176,624,91,633,100,4
Mississippi,1242,187,634,91,607,107,2,1236,190,630,93,606,107,3,1237,202,628,100,608,113,3,1203,187,610,93,593,105,3
Missouri,1271,189,640,95,631,105,3,1262,192,633,93,629,111,4,1236,197,622,98,614,111,4,1212,183,610,93,603,103,4
Montana,1196,161,605,85,591,89,10,1198,164,606,85,592,91,10,1199,167,603,86,596,93,9,1185,156,598,81,587,88,10
Nebraska,1253,198,629,100,625,109,3,1252,196,629,97,623,113,3,1260,192,628,98,631,108,3,1229,181,615,93,614,103,3
Nevada,1116,170,563,86,553,96,26,1140,172,574,86,566,98,23,1156,175,580,89,576,99,20,1150,177,579,89,571,99,17
New Hampshire,1052,198,532,102,520,107,96,1063,201,535,103,528,109,96,1059,202,533,103,526,110,95,1055,205,531,105,524,110,93
New Jersey,1056,187,530,96,526,102,70,1094,207,547,102,547,115,82,1090,216,544,106,545,119,82,1081,215,541,106,540,118,82
New Mexico,1138,186,577,97,561,101,11,1093,206,552,105,540,112,16,1073,204,543,105,530,109,18,1055,198,533,102,522,107,19
New York,1052,188,528,96,523,104,67,1068,205,534,102,534,114,79,1064,211,531,104,533,117,79,1058,213,528,105,530,118,79
North Carolina,1081,176,546,92,535,95,49,1098,183,554,93,543,100,52,1100,189,554,97,546,102,51,1096,188,553,96,544,101,48
North Dakota,1256,199,635,100,621,110,2,1283,178,640,91,643,100,2,1263,188,627,98,636,102,2,1231,193,615,96,617,108,2
Ohio,1149,212,578,108,570,114,12,1099,222,552,112,547,120,18,1097,222,550,111,548,120,19,1070,219,536,110,534,118,21
Oklahoma,1047,257,530,133,517,132,7,1062,238,541,121,521,126,8,963,209,490,110,472,109,22,971,204,490,107,481,107,20
Oregon,1108,174,560,93,548,94,43,1117,180,564,94,553,98,48,1112,186,562,97,550,101,51,1104,186,557,97,547,100,51
Pennsylvania,1071,181,540,94,531,98,65,1086,188,547,95,539,104,70,1082,195,545,98,537,107,70,1078,193,543,98,534,105,67
Rhode Island,1062,190,539,99,524,102,71,1018,200,513,103,505,107,97,995,210,503,107,492,112,100,990,213,501,109,489,114,100
South Carolina,1064,174,543,91,521,94,50,1070,178,547,92,523,98,55,1030,187,526,98,504,99,68,1026,184,524,96,503,98,68
South Dakota,1216,197,612,101,603,106,3,1241,205,622,103,618,116,3,1268,188,633,95,635,105,3,1218,186,609,98,610,101,3
Tennessee,1228,190,623,95,604,107,5,1231,192,624,93,607,110,6,1220,196,618,97,602,111,7,1186,198,601,99,585,110,7
Texas,1020,193,513,102,507,101,62,1032,197,520,102,512,105,66,1022,200,515,103,507,107,68,1010,199,510,102,500,106,73
Utah,1238,185,624,96,614,102,3,1230,191,618,95,612,108,4,1230,194,614,100,615,109,4,1204,177,601,92,603,101,3
Vermont,1114,173,562,92,551,95,60,1120,178,565,94,554,99,64,1106,180,560,95,546,99,66,1103,185,559,98,545,100,63
Virginia,1102,184,561,95,541,100,65,1117,189,567,95,550,105,68,1119,192,567,97,551,106,68,1116,192,567,98,549,105,65
Washington,1075,191,541,101,534,102,64,1081,201,543,104,538,108,69,1074,205,539,105,535,110,70,1073,204,539,105,534,109,69
West Virginia,1086,171,558,88,528,95,14,999,186,513,96,486,101,28,943,174,483,93,460,92,99,936,176,480,95,456,92,98
Wisconsin,1291,178,642,95,649,98,3,1294,180,641,93,653,102,3,1283,188,635,99,648,105,3,1243,177,615,93,628,101,3
Wyoming,1230,176,626,90,604,98,3,1257,178,633,90,625,100,3,1238,186,623,97,615,101,3,1220,151,614,89,606,78,2