State,Trifecta status,Year of last status change,2017,2018,2019,2020,2021
Alabama,Republican trifecta,2011,Republican trifecta,Republican trifecta,Republican trifecta,Republican trifecta,Republican trifecta
Alaska,Divided government,2015,Divided government,Divided government,Divided government,Divided government,Divided government
Arizona,Republican trifecta,2009,Republican trifecta,Republican trifecta,Republican trifecta,Republican trifecta,Republican trifecta
Arkansas,Republican trifecta,2015,Republican trifecta,Republican trifecta,Republican trifecta,Republican trifecta,Republican trifecta
California,Democratic trifecta,2011,Democratic trifecta,Democratic trifecta,Democratic trifecta,Democratic trifecta,Democratic trifecta
Colorado,Democratic trifecta,2019,Divided government,Divided government,Democratic trifecta,Democratic trifecta,Democratic trifecta
Connecticut,Democratic trifecta,2011,Democratic trifecta,Democratic trifecta,Democratic trifecta,Democratic trifecta,Democratic trifecta
Delaware,Democratic trifecta,2009,Democratic trifecta,Democratic trifecta,Democratic trifecta,Democratic trifecta,Democratic trifecta
Florida,Republican trifecta,2011,Republican trifecta,Republican trifecta,Republican trifecta,Republican trifecta,Republican trifecta
Georgia,Republican trifecta,2005,Republican trifecta,Republican trifecta,Republican trifecta,Republican trifecta,Republican trifecta
Hawaii,Democratic trifecta,2011,Democratic trifecta,Democratic trifecta,Democratic trifecta,Democratic trifecta,Democratic trifecta
Idaho,Republican trifecta,1995,Republican trifecta,Republican trifecta,Republican trifecta,Republican trifecta,Republican trifecta
Illinois,Democratic trifecta,2019,Divided government,Divided government,Democratic trifecta,Democratic trifecta,Democratic trifecta
Indiana,Republican trifecta,2011,Republican trifecta,Republican trifecta,Republican trifecta,Republican trifecta,Republican trifecta
Iowa,Republican trifecta,2017,Unknown,Republican trifecta,Republican trifecta,Republican trifecta,Republican trifecta
Kansas,Divided government,2019,Republican trifecta,Republican trifecta,Divided government,Divided government,Divided government
Kentucky,Divided government,2019,Republican trifecta,Republican trifecta,Republican trifecta,Divided government,Divided government
Louisiana,Divided government,2016,Divided government,Divided government,Divided government,Divided government,Divided government
Maine,Democratic trifecta,2019,Divided government,Divided government,Democratic trifecta,Democratic trifecta,Democratic trifecta
Maryland,Divided government,2015,Divided government,Divided government,Divided government,Divided government,Divided government
Massachusetts,Divided government,2015,Divided government,Divided government,Divided government,Divided government,Divided government
Michigan,Divided government,2019,Republican trifecta,Republican trifecta,Divided government,Divided government,Divided government
Minnesota,Divided government,2015,Divided government,Divided government,Divided government,Divided government,Divided government
Mississippi,Republican trifecta,2012,Republican trifecta,Republican trifecta,Republican trifecta,Republican trifecta,Republican trifecta
Missouri,Republican trifecta,2017,Unknown,Republican trifecta,Republican trifecta,Republican trifecta,Republican trifecta
Montana,Republican trifecta,2021,Divided government,Divided government,Divided government,Divided government,Republican trifecta
Nebraska,Republican trifecta,1999,Republican trifecta,Republican trifecta,Republican trifecta,Republican trifecta,Republican trifecta
Nevada,Democratic trifecta,2019,Divided government,Divided government,Democratic trifecta,Democratic trifecta,Democratic trifecta
New Hampshire,Republican trifecta,2020,Republican trifecta,Republican trifecta,Divided government,Divided government,Republican trifecta
New Jersey,Democratic trifecta,2018,Unknown,Democratic trifecta,Democratic trifecta,Democratic trifecta,Democratic trifecta
New Mexico,Democratic trifecta,2019,Divided government,Divided government,Democratic trifecta,Democratic trifecta,Democratic trifecta
New York,Democratic trifecta,2019,Divided government,Divided government,Democratic trifecta,Democratic trifecta,Democratic trifecta
North Carolina,Divided government,2017,Unknown,Divided government,Divided government,Divided government,Divided government
North Dakota,Republican trifecta,1995,Republican trifecta,Republican trifecta,Republican trifecta,Republican trifecta,Republican trifecta
Ohio,Republican trifecta,2011,Republican trifecta,Republican trifecta,Republican trifecta,Republican trifecta,Republican trifecta
Oklahoma,Republican trifecta,2011,Republican trifecta,Republican trifecta,Republican trifecta,Republican trifecta,Republican trifecta
Oregon,Democratic trifecta,2013,Democratic trifecta,Democratic trifecta,Democratic trifecta,Democratic trifecta,Democratic trifecta
Pennsylvania,Divided government,2015,Divided government,Divided government,Divided government,Divided government,Divided government
Rhode Island,Democratic trifecta,2013,Democratic trifecta,Democratic trifecta,Democratic trifecta,Democratic trifecta,Democratic trifecta
South Carolina,Republican trifecta,2003,Republican trifecta,Republican trifecta,Republican trifecta,Republican trifecta,Republican trifecta
South Dakota,Republican trifecta,1995,Republican trifecta,Republican trifecta,Republican trifecta,Republican trifecta,Republican trifecta
Tennessee,Republican trifecta,2011,Republican trifecta,Republican trifecta,Republican trifecta,Republican trifecta,Republican trifecta
Texas,Republican trifecta,2003,Republican trifecta,Republican trifecta,Republican trifecta,Republican trifecta,Republican trifecta
Utah,Republican trifecta,1985,Republican trifecta,Republican trifecta,Republican trifecta,Republican trifecta,Republican trifecta
Vermont,Divided government,2017,Unknown,Divided government,Divided government,Divided government,Divided government
Virginia,Divided government,2022,Divided government,Divided government,Divided government,Democratic trifecta,Democratic trifecta
Washington,Democratic trifecta,2017,Unknown,Democratic trifecta,Democratic trifecta,Democratic trifecta,Democratic trifecta
West Virginia,Republican trifecta,2017,Unknown,Republican trifecta,Republican trifecta,Republican trifecta,Republican trifecta
Wisconsin,Divided government,2019,Republican trifecta,Republican trifecta,Divided government,Divided government,Divided government
Wyoming,Republican trifecta,2011,Republican trifecta,Republican trifecta,Republican trifecta,Republican trifecta,Republican trifecta